Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MATH 1302,College Algebra,[None],[None],required
MATH 1402,Pre-Calculus,MATH 1302,[None],required
MATH 1426,Calculus I,MATH 1402,[None],required
MATH 2425,Calculus II,MATH 1426,[None],required
MATH 2326,Calculus III,MATH 2425,[None],required
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,[None],required
CHEM 1441,General Chemistry I,[None],[None],required
PHYS 1443,General Technical Physics I,MATH 1426,[None],required
ENGL 1301,Rhetoric and Composition I,[None],[None],required
COMS 2302,Professional & Technical Communication,ENGL 1301,[None],required
POLS 2311,Government of the US,[None],[None],required
POLS 2312,State and Local Government,[None],[None],required
HIST 13XX,U.S. History Elective,[None],[None],required
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None],required
UNIV 1131,Student Success,[None],[None],required
MAE 1351,Introduction to Engineering Design,MATH 1426,[None],required
IE 1110,First Semester Industrial and Systems Engineering Seminar,[None],[None],required
IE 1205,Introduction to Industrial Engineering and Computing,[None],[None],required
IE 1325,Introduction to Data Analysis,IE 1110,[None],required
IE 2305,Computer Applications in Industrial Engineering,IE 1325,[None],required
IE 2308,Economics for Engineers,MATH 1426,[None],required
IE 3301,Engineering Probability,MATH 2425,[None],required
IE 3314,Engineering Research Methods,"IE 3301, MATH 2326",[None],required
IE 3315,Operations Research I,MATH 2326,[None],required
IE 3343,Metrics and Measurement,"MATH 2326, IE 2308, IE 3301",[None],required
IE 3351,Fundamentals of Systems Engineering,MATH 2425,[None],required
IE 4303,Production and Inventory Control,"IE 2305, IE 3301, IE 3315",[None],required
IE 4308,Quality Systems,IE 3301,[None],required
IE 4315,Operations Research II,"IE 3301, IE 3315, MATH 3319",[None],required
IE 4318,Enterprise Design,[None],[None],required
IE 4322,Simulation of Complex Systems,"IE 3314, IE 4315",[None],required
IE 4325,Automation and Robotics for Service and Manufacturing,IE 4303,[None],required
IE 4339,Manufacturing Process and System Analysis,[None],[None],required
IE 4340,Engineering Project Management,[None],[None],required
IE 4343,Facilities Planning and Design,IE 4303,[None],required
IE 4344,Human Factors Engineering and Complex Systems,"IE 3301, IE 2308, IE 3343",[None],required
IE 4345,Decision Analysis in System Design,[None],[None],required
IE 4350,Industrial and Systems Engineering Capstone Design,"IE 4303, IE 4308, IE 4315",[None],required
IE 4305,Engineering Decision Making with Data,IE 3301,[None],elective
IE 4314,Data Mining and Analytics,IE 3301,[None],elective
IE 43XX,IE Technical Elective (1),[None],[None],required
IE 43XX,IE Technical Elective (2),[None],[None],required
IE 43XX,IE Technical Elective (3),[None],[None],required
LPC XXXX,Language Philosophy and Culture Elective,[None],[None],required
CA XXXX,Creative Arts Elective,[None],[None],required
