Formal Name,Course Name,Prerequisites,Corequisites,Requirement
EE 1100,Introduction to Electrical Engineering,[None],[None],required
MATH 1302,College Algebra,[None],[None],required
MATH 1402,Pre-Calculus,MATH 1302,[None],required
MATH 1426,Calculus I,MATH 1402,[None],required
MATH 2425,Calculus II,MATH 1426,[None],required
MATH 2326,Calculus III,MATH 2425,[None],required
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,MATH 2326,required
MATH 3313,Introduction to Linear Algebra,MATH 2326,[None],required
CHEM 1441,General Chemistry I,[None],[None],required
PHYS 1443,General Technical Physics I,MATH 1426,[None],required
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None],required
ENGL 1301,Rhetoric and Composition I,[None],[None],required
COMS 2302,Professional & Technical Communication,ENGL 1301,[None],required
POLS 2311,Government of the US,[None],[None],required
POLS 2312,State and Local Government,[None],[None],required
HIST 13XX,U.S. History Elective,[None],[None],required
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None],required
UNIV 1131,Student Success,[None],[None],required
EE 2310,Electric Circuit Theory I,PHYS 1444,[None],required
EE 2320,Electric Circuit Theory II,EE 2310,[None],required
EE 2105,Electrical Engineering Lab I,[None],EE 2310,required
EE 2106,Electrical Engineering Lab II,[None],EE 2320,required
EE 3305,Solid State Devices,"EE 2310, PHYS 1444",[None],required
EE 3310,Electronics I,"EE 3305, EE 2320",[None],required
EE 3320,Electronics II,EE 3310,[None],required
EE 3110,Electronic Circuits Lab I,[None],EE 3310,required
EE 3330,Engineering Electromagnetics,"EE 2310, MATH 2326",[None],required
EE 3340,Signal Analysis,"EE 2310, MATH 3319",[None],required
EE 3342,Introduction to Digital Signal Processing,EE 3340,[None],required
EE 3350,Probability and Statistics for Engineers,MATH 2425,[None],required
EE 4301,Semiconductor Devices,EE 3305,[None],elective
EE 4310,Power Systems I,EE 2320,[None],elective
EE 4311,Power Systems II,EE 4310,[None],elective
EE 4315,Introduction to Control Systems,EE 3340,[None],elective
EE 4316,Digital Control Systems,EE 4315,[None],elective
EE 4320,Communication Systems,"EE 3340, EE 3350",[None],elective
EE 4325,Computer Architecture,EE 2320,[None],elective
EE 4330,Power Electronics,"EE 3310, EE 2320",[None],elective
EE 4332,Introduction to Radio Frequency Circuits,EE 3330,[None],elective
EE 4340,Digital Communications,EE 4320,[None],elective
EE 4350,Introduction to VLSI Design,"EE 3310, EE 3320",[None],elective
EE 4370,Embedded Systems,EE 4325,[None],elective
EE 4380,Introduction to Machine Learning for Engineers,"EE 3350, MATH 3313",[None],elective
EE 4391,Electrical Engineering Senior Design I,"EE 3310, EE 3340, EE 3330",[None],required
EE 4392,Electrical Engineering Senior Design II,EE 4391,[None],required
EE 43XX,EE Technical Elective (1),[None],[None],required
EE 43XX,EE Technical Elective (2),[None],[None],required
EE 43XX,EE Technical Elective (3),[None],[None],required
EE 43XX,EE Technical Elective (4),[None],[None],required
ENGR 4XXX,Engineering Elective,[None],[None],required
MATH 3XXX,Math/Science Elective (3000+ level),[None],[None],required
IE 2308,Engineering Economy,[None],MATH 1426,required
LPC XXXX,Language Philosophy and Culture Elective,[None],[None],required
CA XXXX,Creative Arts Elective,[None],[None],required
