Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ME 1010,Introduction to Mechanical Engineering,[None],[None],required
MATH 1302,College Algebra,[None],[None],required
MATH 1402,Pre-Calculus,MATH 1302,[None],required
MATH 1426,Calculus I,MATH 1402,[None],required
MATH 2425,Calculus II,MATH 1426,[None],required
MATH 2326,Calculus III,MATH 2425,[None],required
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,MATH 2326,required
CHEM 1441,General Chemistry I,[None],[None],required
PHYS 1443,General Technical Physics I,MATH 1426,[None],required
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None],required
ENGL 1301,Rhetoric and Composition I,[None],[None],required
COMS 2302,Professional & Technical Communication,ENGL 1301,[None],required
POLS 2311,Government of the US,[None],[None],required
POLS 2312,State and Local Government,[None],[None],required
HIST 13XX,U.S. History Elective,[None],[None],required
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None],required
UNIV 1131,Student Success,[None],[None],required
IE 2308,Engineering Economy,[None],MATH 1426,required
CE 2311,Statics,PHYS 1443,[None],required
ME 2152,ME Drawing and Computer Aided Design,ME 1010,[None],required
ME 2320,Dynamics,"CE 2311, MATH 2425",[None],required
CSE 1310,Introduction to Computers and Programming,[None],[None],required
ME 3210,Computational Methods in ME,"MATH 2326, CSE 1310",[None],required
ME 3320,Thermodynamics I,"PHYS 1443, MATH 2425",[None],required
ME 3330,Thermodynamics II,ME 3320,[None],required
ME 3340,Mechanics of Materials,"CE 2311, MATH 2425",[None],required
ME 3345,Machine Design,"ME 3340, ME 2320",[None],required
ME 3351,Engineering Fluid Mechanics,"ME 3320, MATH 3319",[None],required
ME 3360,Computer-Aided Design of Mechanical Components,"ME 2152, ME 3340",[None],required
ME 4301,Heat Transfer,"ME 3320, ME 3351, MATH 3319",[None],elective
ME 4310,Mechanical Vibrations,"ME 2320, MATH 3319",[None],elective
ME 4320,Experimental Methods in ME,"ME 3320, ME 3340, ME 3351",[None],elective
ME 4345,Numerical Methods in ME,"ME 3210, MATH 3319",[None],elective
ME 4360,Design of Mechanical Systems,"ME 3345, ME 4301",[None],elective
MAE 3310,Aerostructures,CE 2311,[None],required
MAE 3320,Aerospace Propulsion,ME 3320,[None],required
MAE 3330,Aerodynamics I,ME 3351,[None],required
MAE 3340,Aerospace Vehicle Performance,"ME 2320, MATH 3319",[None],required
MAE 4310,Flight Vehicle Design,"MAE 3330, MAE 3310",[None],elective
MAE 4320,Aerospace Propulsion Design,MAE 3320,[None],elective
MAE 4330,Advanced Aerodynamics,MAE 3330,[None],elective
MAE 4340,Space Mechanics,MAE 3340,[None],elective
ME 4391,Mechanical Engineering Senior Design I,"ME 3345, ME 4301",[None],required
ME 4392,Mechanical Engineering Senior Design II,ME 4391,[None],required
ME 43XX,ME/MAE Technical Elective (1),[None],[None],required
ME 43XX,ME/MAE Technical Elective (2),[None],[None],required
MAE 43XX,ME/MAE Technical Elective (3),[None],[None],required
LPC XXXX,Language Philosophy and Culture Elective,[None],[None],required
CA XXXX,Creative Arts Elective,[None],[None],required
